crypto,date,open,high,low,close,volume
Bitcoin,2023-08-09,29766.6,30170.0,29344.16,29562.76,14079.43509435958
Bitcoin,2023-08-10,29597.0,29745.0,29306.0,29424.03,10023.34769761284
Bitcoin,2023-08-11,29424.04,29557.0,29208.1,29400.45,8096.4004259411195
Bitcoin,2023-08-12,29399.0,29497.0,29349.98,29416.96,2492.4863888601462
Bitcoin,2023-08-13,29412.5,29477.0,29247.15,29275.94,2890.8231689202344
Bitcoin,2023-08-14,29315.0,29689.0,29072.96,29405.49,9101.782905751814
Bitcoin,2023-08-15,29405.49,29499.0,29046.58,29170.14,7503.032885700751
Bitcoin,2023-08-16,29200.0,29255.0,28690.37,28700.51,12211.064930092502
Bitcoin,2023-08-17,28729.0,28779.0,24713.0,26627.57,38641.14783436029
Bitcoin,2023-08-18,26627.21,26834.37,25607.1,26048.89,26342.97870755496
Bitcoin,2023-08-19,26048.9,26288.0,25793.11,26096.42,7832.977927251492
Bitcoin,2023-08-20,26096.4,26314.0,25975.01,26189.14,5528.788231450634
Bitcoin,2023-08-21,26189.36,26279.0,25807.3,26125.18,12080.833109381849
Bitcoin,2023-08-22,26125.16,26156.0,25350.0,26040.4,15130.652898756014
Bitcoin,2023-08-23,26040.5,26840.0,25796.47,26427.54,19335.25241160595
Bitcoin,2023-08-24,26417.5,26599.0,25850.0,26163.49,12251.075807504776
Bitcoin,2023-08-25,26160.0,26326.0,25750.0,26049.8,13627.25715478573
Bitcoin,2023-08-26,26049.4,26192.0,25971.44,26009.61,2428.6151377800015
Bitcoin,2023-08-27,26002.4,26198.0,25961.81,26091.16,2641.8155278200265
Bitcoin,2023-08-28,26091.16,26264.0,25850.0,26109.6,7495.415498601789
Bitcoin,2023-08-29,26109.6,28193.0,25903.18,27717.98,28801.74250841158
Bitcoin,2023-08-30,27749.0,27793.0,27005.2,27306.06,13116.56946325353
Bitcoin,2023-08-31,27326.0,27605.5,25660.61,25932.45,20462.049334663145
Bitcoin,2023-09-01,25936.3,26166.0,25307.37,25794.88,19587.91629530504
Bitcoin,2023-09-02,25808.3,25995.0,25707.3,25869.7,5599.54531629039
Bitcoin,2023-09-03,25869.7,26137.0,25792.29,25969.83,4507.97003508028
Bitcoin,2023-09-04,25969.4,26100.0,25627.0,25816.13,6209.08498182062
Bitcoin,2023-09-05,25806.3,25909.0,25551.36,25783.91,8015.552952651303
Bitcoin,2023-09-06,25788.8,26067.0,25358.0,25747.63,11669.671648812791
